2025-10-05 16:06:53 | INFO | api_middleware | request_completed | trace_id=6eed6371-3170-4f54-b4da-44901abf3460 | method=GET | path=/healthz | status_code=200 | duration_ms=106.82 | success=True | client_ip=127.0.0.1
2025-10-05 16:06:55 | INFO | api_middleware | request_completed | trace_id=13b25f22-7057-4515-bdb5-866622128ad0 | method=GET | path=/ready | status_code=200 | duration_ms=1.59 | success=True | client_ip=127.0.0.1
2025-10-05 16:06:57 | INFO | api_middleware | request_completed | trace_id=c05ded86-c2ef-4d0c-b3b2-24ab24f1208b | method=GET | path=/live | status_code=200 | duration_ms=1.31 | success=True | client_ip=127.0.0.1
2025-10-05 16:06:59 | INFO | api_middleware | request_completed | trace_id=382117bd-8784-4023-a01f-012f64112624 | method=POST | path=/api/messages | status_code=200 | duration_ms=321.35 | success=True | client_ip=127.0.0.1
2025-10-05 16:07:02 | INFO | api_middleware | request_completed | trace_id=7b0dc0c0-cd18-472b-948f-6f1348633ffe | method=POST | path=/api/web/messages | status_code=200 | duration_ms=77.29 | success=True | client_ip=127.0.0.1
2025-10-05 16:07:04 | INFO | api_middleware | request_completed | trace_id=6a432586-9a15-4c35-b9b4-490042fa5a4e | method=POST | path=/api/app/messages | status_code=200 | duration_ms=104.85 | success=True | client_ip=127.0.0.1
2025-10-05 16:07:06 | WARNING | api_middleware | request_completed | trace_id=51a13a1e-a886-4c5f-b4bc-5045a7f9c3a9 | method=POST | path=/api/messages | status_code=422 | duration_ms=8.29 | success=False | client_ip=127.0.0.1
2025-10-05 16:07:08 | WARNING | api_middleware | request_completed | trace_id=346ca154-89a5-45b8-a562-dcdefc0c0c50 | method=POST | path=/api/messages | status_code=404 | duration_ms=32.5 | success=False | client_ip=127.0.0.1
2025-10-05 16:07:10 | INFO | api_middleware | request_completed | trace_id=25ee907a-725b-4d01-91ef-96954b90d1b0 | method=POST | path=/api/messages | status_code=200 | duration_ms=95.91 | success=True | client_ip=127.0.0.1
2025-10-05 16:07:12 | INFO | api_middleware | request_completed | trace_id=7f9d3639-5e2d-4620-b478-996fc2b3640f | method=POST | path=/api/messages | status_code=200 | duration_ms=11.82 | success=True | client_ip=127.0.0.1
2025-10-05 16:07:14 | INFO | api_middleware | request_completed | trace_id=bcd5244e-8d7e-464e-97fe-82810d4be68a | method=GET | path=/healthz | status_code=200 | duration_ms=5.24 | success=True | client_ip=127.0.0.1
2025-10-05 16:07:16 | INFO | api_middleware | request_completed | trace_id=d05998ee-e0d6-461b-831a-f1cbecc5dbc1 | method=POST | path=/api/messages | status_code=200 | duration_ms=80.71 | success=True | client_ip=127.0.0.1
